Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
601,mkii,Mortal Kombat II,Brawler,"Super Nintendo, GameCube, Sega Genesis, Sega Saturn, Game Boy Color, Game Boy Advance, Arcade, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, Xbox 360, Xbox, Sega Master System, Sega Game Gear, PlayStation 4, Xbox One, PC, MS-DOS, Wii, Sega 32X, Amiga, Super Game Boy, Game Boy Player, Super Game Boy 2, Game Boy, MiSTer",121.0,2018-10-05
602,destiny2,Destiny 2,First-person shooter,"PlayStation 4, Xbox One, PC, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",253.0,1993-06-25
603,sp_sot,South Park: The Stick of Truth,RPG,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch",178.0,2017-09-06
604,lionkingsnes,The Lion King (SNES),2D Platformer,"Super Nintendo, PlayStation 4, Xbox One, PC, Switch",114.0,2014-01-01
605,mmxlc,Mega Man X Legacy Collection,2D Platformer,"PlayStation 4, Xbox One, PC, Switch",184.0,1994-01-01
606,tetriseffect,Tetris Effect: Connected,Puzzle,"PlayStation 4, Xbox One, PC, Switch, Xbox Series X, Xbox Series S",163.0,2018-07-24
607,inside,Inside,Puzzle,"PlayStation 4, Xbox One, PC, iOS, Macintosh, Switch, PlayStation 5",142.0,2018-11-09
608,dwd,Darkwing Duck (NES),2D Platformer,Nintendo Entertainment System,96.0,2016-06-29
609,pkmntcg,Pokémon Trading Card Game,Strategy,"Game Boy Advance, Nintendo 3DS Virtual Console, Game Boy Player, Super Game Boy 2, Game Boy Interface",123.0,1992-01-01
610,robloxthetoh,THE Tower of Hell,Parkour,"Xbox One, PC, Android, iOS, Macintosh",215.0,1998-12-18
611,sly2,Sly 2: Band of Thieves,3D Platformer,"PlayStation 2, PlayStation 3, PlayStation Vita, Playstation Now, backwards-compatible PlayStation 3",77.0,2019-07-24
612,twinsanity,Crash Twinsanity,3D Platformer,"PlayStation 2, Xbox 360, Xbox, backwards-compatible PlayStation 3",112.0,2004-09-14
613,mslug,Metal Slug,Action,"Wii Virtual Console, Sega Saturn, Nintendo DS, Arcade, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, Xbox, PlayStation 4, Xbox One, PC, Wii, Android, Switch",227.0,2004-08-30
614,fnafucn,Ultimate Custom Night,Horror,"PlayStation 4, Xbox One, PC, Android, iOS, Switch, PlayStation 5",206.0,1996-01-01
615,resident_evil_hd_remaster_console,Resident Evil HD Remaster (Console),Horror,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, Switch, PlayStation 5, Xbox Series X, Xbox Series S",353.0,2018-06-27
616,tengen_tetris,Tengen Tetris (NES),Puzzle,Nintendo Entertainment System,100.0,2014-11-27
617,bm64,Bomberman 64,3D Platformer,"Nintendo 64, Wii U Virtual Console",112.0,1989-05-01
618,rac4,Ratchet: Deadlocked,Action,"PlayStation 2, PlayStation 3, backwards-compatible PlayStation 3",109.0,1997-01-01
619,quake,Quake,First-person shooter,PC,115.0,2005-10-25
620,mas2020,Mario & Sonic at the Olympic Games Tokyo 2020,Sports,Switch,176.0,1996-06-22
621,monster_jam_urban_assault,Monster Jam: Urban Assault,Racing,"Nintendo DS, PlayStation 2, PlayStation Portable, Wii",124.0,2019-11-01
622,minit,Minit,Misc,"PlayStation 4, Xbox One, PC, Switch",198.0,2008-10-28
623,nsmbu,New Super Mario Bros. U,2D Platformer,Wii U,157.0,2018-04-03
624,pop_ww,Prince of Persia: Warrior Within,Action-Adventure,"GameCube, PlayStation 2, PlayStation 3, Xbox, PlayStation Vita, PC, Wii, iOS",89.0,2012-11-18
625,rivals-of-aether,Rivals of Aether,Brawler,"Xbox One, PC, Switch",259.0,2004-11-30
626,wpu,Wii Party U,Misc,Wii U,235.0,2017-03-28
627,hill_climb_racing_china_edition,Hill Climb Racing: China Edition,Racing,"PC, Android",306.0,2013-10-25
628,am2r,Another Metroid 2 Remake,Action-Adventure,"PC, Android",110.0,2015-02-19
629,cyber_shadow,Cyber Shadow,Action,"PlayStation 4, Xbox One, PC, Macintosh, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",89.0,2016-08-06
630,pmdsky,Pokémon Mystery Dungeon: Explorers of Sky,RPG,"Nintendo DS, Nintendo 3DS, Wii U Virtual Console, New Nintendo 3DS",150.0,2021-01-26
